34, 8, 1, 166, 188, 129
35, 8, 1, 166, 186, 128
36, 8, 1, 169, 187, 125
10, 9, 1, 81, 136, 67
11, 9, 1, 74, 125, 75
12, 9, 1, 74, 125, 74
13, 9, 1, 84, 136, 80
14, 9, 1, 64, 114, 66
15, 9, 1, 84, 135, 80
16, 9, 1, 71, 120, 69
17, 9, 1, 67, 116, 67
18, 9, 1, 71, 121, 65
40, 10, 7, 9, 11, 1
39, 10, 7, 85, 118, 76
43, 9, 7, 0, 19, 10
42, 9, 7, 69, 112, 86
23, 9, 1, 175, 188, 130
24, 9, 1, 170, 188, 129
25, 9, 1, 162, 189, 125
26, 9, 1, 166, 190, 126
27, 9, 1, 171, 189, 130
28, 9, 1, 170, 184, 132
29, 9, 1, 170, 189, 130
30, 9, 1, 169, 187, 132
31, 9, 1, 166, 186, 128
32, 9, 1, 164, 183, 124
33, 9, 1, 164, 188, 131
34, 9, 1, 158, 180, 121
35, 9, 1, 169, 187, 132
36, 9, 1, 160, 185, 125
19, 10, 1, 90, 147, 87
20, 10, 1, 128, 171, 91
21, 10, 1, 102, 159, 92
22, 10, 1, 120, 168, 99
23, 10, 1, 154, 183, 116
24, 10, 1, 109, 165, 99
25, 10, 1, 99, 150, 91
26, 10, 1, 115, 165, 98
27, 10, 1, 172, 188, 125
28, 10, 1, 153, 184, 120
29, 10, 1, 168, 190, 130
30, 10, 1, 158, 186, 126
31, 10, 1, 168, 190, 131
32, 10, 1, 169, 189, 131
33, 10, 1, 156, 183, 121
34, 10, 1, 165, 187, 126
35, 10, 1, 166, 186, 129
36, 10, 1, 159, 183, 122
27, 11, 1, 170, 189, 126
28, 11, 1, 168, 188, 124
29, 11, 1, 147, 180, 107
30, 11, 1, 132, 170, 93
31, 11, 1, 132, 164, 81
32, 11, 1, 146, 180, 104
33, 11, 1, 154, 187, 113
35, 11, 1, 85, 132, 79
41, 9, 7, 71, 98, 83
37, 11, 1, 103, 139, 76
27, 12, 1, 155, 181, 100
40, 9, 7, 86, 115, 87
29, 12, 1, 159, 182, 113
35, 12, 1, 120, 168, 116
36, 12, 1, 108, 151, 76
37, 12, 1, 89, 135, 90
26, 13, 1, 103, 149, 80
27, 13, 1, 74, 125, 81
39, 9, 7, 62, 86, 60
29, 13, 1, 138, 168, 82
26, 14, 1, 82, 131, 75
27, 14, 1, 109, 159, 101
28, 14, 1, 120, 166, 106
28, 5, 2, 116, 169, 115
29, 5, 2, 169, 193, 143
27, 6, 2, 85, 140, 72
43, 8, 7, 139, 162, 115
29, 6, 2, 135, 158, 68
36, 6, 2, 96, 138, 84
27, 7, 2, 139, 163, 82
42, 8, 7, 77, 107, 46
30, 7, 2, 96, 124, 50
31, 7, 2, 105, 145, 70
32, 7, 2, 95, 126, 42
33, 7, 2, 124, 158, 77
34, 7, 2, 121, 152, 65
35, 7, 2, 85, 134, 76
41, 8, 7, 100, 143, 104
37, 7, 2, 139, 180, 106
22, 8, 2, 86, 143, 81
23, 8, 2, 89, 146, 88
24, 8, 2, 90, 149, 85
25, 8, 2, 95, 149, 96
26, 8, 2, 85, 126, 71
40, 8, 7, 20, 27, 19
39, 8, 7, 95, 131, 87
42, 10, 6, 148, 182, 142
41, 10, 6, 185, 195, 160
40, 10, 6, 185, 197, 152
39, 10, 6, 139, 171, 99
37, 8, 2, 105, 147, 68
19, 9, 2, 76, 123, 71
20, 9, 2, 77, 126, 77
21, 9, 2, 60, 105, 66
22, 9, 2, 83, 136, 79
38, 10, 6, 118, 159, 102
43, 9, 6, 181, 196, 131
42, 9, 6, 182, 197, 138
37, 9, 2, 138, 156, 89
22, 10, 2, 86, 140, 80
23, 10, 2, 83, 134, 80
24, 10, 2, 86, 143, 88
25, 10, 2, 80, 133, 76
26, 10, 2, 84, 120, 67
38, 9, 6, 100, 145, 82
42, 8, 6, 123, 155, 112
41, 8, 6, 183, 193, 163
40, 8, 6, 181, 196, 141
39, 8, 6, 126, 168, 99
38, 8, 6, 77, 116, 58
37, 10, 2, 154, 184, 106
27, 11, 2, 101, 129, 35
40, 10, 5, 185, 192, 156
30, 11, 2, 88, 123, 39
31, 11, 2, 86, 122, 39
32, 11, 2, 105, 135, 53
33, 11, 2, 131, 164, 84
34, 11, 2, 114, 147, 64
35, 11, 2, 89, 138, 80
39, 10, 5, 181, 192, 143
37, 11, 2, 140, 179, 108
27, 12, 2, 123, 163, 100
38, 10, 5, 131, 168, 96
